accuracy,loss,val_accuracy,val_loss
0.2609395980834961,1.7918882369995117,0.3225356936454773,1.6983826160430908
0.3317803740501404,1.6761459112167358,0.3991640508174896,1.5379425287246704
0.385117769241333,1.578879475593567,0.43974223732948303,1.4432809352874756
0.4228675961494446,1.499254822731018,0.4667363166809082,1.370635747909546
0.4428963363170624,1.4486204385757446,0.48345524072647095,1.3335069417953491
0.46740975975990295,1.4045759439468384,0.5060954093933105,1.2855204343795776
0.47555187344551086,1.3702815771102905,0.5208986401557922,1.2500375509262085
0.4884399473667145,1.352810263633728,0.5217694044113159,1.2478936910629272
0.49649497866630554,1.324847936630249,0.5273423790931702,1.2232348918914795
0.5035921335220337,1.312416911125183,0.5343086123466492,1.2112401723861694
0.5095571875572205,1.2976588010787964,0.5379658937454224,1.202712893486023
0.5174816250801086,1.2810629606246948,0.538314163684845,1.1945137977600098
0.5222275257110596,1.2663875818252563,0.5539881587028503,1.168900489807129
0.5229241847991943,1.2667039632797241,0.5569487810134888,1.168324589729309
0.5280184745788574,1.254665732383728,0.5539881587028503,1.162183403968811
0.5297600626945496,1.2441092729568481,0.5468477606773376,1.1821916103363037
0.5335916876792908,1.2311341762542725,0.5508533716201782,1.1579418182373047
0.5379457473754883,1.2339609861373901,0.5566005110740662,1.148040533065796
0.5390778183937073,1.2228533029556274,0.5614768266677856,1.139129877090454
0.546784520149231,1.2135926485061646,0.5524207353591919,1.1534868478775024
0.546784520149231,1.2137844562530518,0.5616509914398193,1.1458241939544678
0.5431271195411682,1.209298014640808,0.5656565427780151,1.1289942264556885
0.5500935912132263,1.2019271850585938,0.5583420395851135,1.1382801532745361
0.5473505258560181,1.1899933815002441,0.5679205656051636,1.148131251335144
0.5555362105369568,1.1861051321029663,0.568791389465332,1.1232151985168457
0.5556668043136597,1.1874020099639893,0.5731452703475952,1.1140919923782349
0.5594548583030701,1.1734734773635864,0.5780215859413147,1.1111321449279785
0.5541428923606873,1.178263783454895,0.570184588432312,1.1171565055847168
0.5571907758712769,1.173768162727356,0.5747126340866089,1.115399956703186
0.5630252361297607,1.1677191257476807,0.5663532018661499,1.1131818294525146
